dataset_id_internal,resource_id,edit_date,dataset_id,unique_id,dataset_title,resource_title,resource_url,resource_file_type,resource_file_format,tags
10,1,20180627,20180627-10,igss-20180627-10-1-20180627,La couverture par le régime général de l'assurance accident,Evolution du nombre des entreprises affiliées et du total des salaires cotisables,http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab02.xls,remote,xls,"Accidents, affiliation, régime général"
10,2,20180627,20180627-10,igss-20180627-10-2,La couverture par le régime général de l'assurance accident,Evolution du nombre des salariés-unité et des entreprises,http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab03.xls,remote,xls,"Accidents, affiliation, régime général"
11,1,20180627,20180627-11,igss-20180627-11-1,Les accidents reconnus par le régime général de l'assurance accident,Evolution générale des accidents, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab04.xls ,remote,xls,"Accidents, régime général"
11,2,20180627,20180627-11,igss-20180627-11-2,Les accidents reconnus par le régime général de l'assurance accident,Evolution de la fréquence des accidents reconnus, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab07.xls ,remote,xls,"Accidents, régime général, fréquence"
11,3,20180627,20180627-11,igss-20180627-11-3,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le type d'accident, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab08.xls ,remote,xls,"Accidents, régime général, type d'accident"
11,4,20180627,20180627-11,igss-20180627-11-4,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le lieu de travail, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab09.xls ,remote,xls,"Accidents, régime général, lieu de travail"
11,5,20180627,20180627-11,igss-20180627-11-5,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant l'agent matériel, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab10.xls ,remote,xls,"Accidents, régime général, agent matériel"
11,6,20180627,20180627-11,igss-20180627-11-6,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant l'activité du blessé, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab11.xls ,remote,xls,"Accidents, régime général, activité"
11,7,20180627,20180627-11,igss-20180627-11-7,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant la modalité de la blessure, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab12.xls ,remote,xls,"Accidents, régime général, blessure, lésion"
11,8,20180627,20180627-11,igss-20180627-11-8,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant la nature de la lésion, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab13.xls ,remote,xls,"Accidents, régime général, blessure, lésion"
11,9,20180627,20180627-11,igss-20180627-11-9,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le siège de la lésion, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab14.xls ,remote,xls,"Accidents, régime général, blessure, lésion"
11,10,20180627,20180627-11,igss-20180627-11-10,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant l'âge de la victime, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab16.xls ,remote,xls,"Accidents, régime général, âge, victime"
11,11,20180627,20180627-11,igss-20180627-11-11,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le mois de l'année, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab17.xls ,remote,xls,"Accidents, régime général, mois"
11,12,20180627,20180627-11,igss-20180627-11-12,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le jour de la semaine, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab18.xls ,remote,xls,"Accidents, régime général, jour"
11,13,20180627,20180627-11,igss-20180627-11-13,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant l'heure de la journée, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab19.xls ,remote,xls,"Accidents, régime général, heure"
12,1,20180627,20180627-12,igss-20180627-12-1,Les prestations du régime général de l'assurance accident,Répartition du nombre de rachats de rentes viagères , http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab22.xls ,remote,xls,"Accidents, régime général, prestations, rachat, rentes viagères"
12,2,20180627,20180627-12,igss-20180627-12-2,Les prestations du régime général de l'assurance accident,Répartition du montant des rachats de rentes viagères , http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab23.xls ,remote,xls,"Accidents, régime général, prestations, rachat, rentes viagères"
12,3,20180627,20180627-12,igss-20180627-12-3,Les prestations du régime général de l'assurance accident,Evolution du montant des prestations du régime général de l'assurance accident, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab24.xls ,remote,xls,"Accidents, régime général, prestations, entreprise, salaire cotisable"
13,1,20180627,20180627-13,igss-20180627-13-1,Le financement du régime général de l'assurance accident,Evolution des principales catégories de dépenses, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab25.xls ,remote,xls,"Accidents, régime général, données financières, financement, dépenses"
13,2,20180627,20180627-13,igss-20180627-13-2,Le financement du régime général de l'assurance accident,Evolution des principales catégories de recettes, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab26.xls ,remote,xls,"Accidents, régime général, données financières, financement, recettes"
13,3,20180627,20180627-13,igss-20180627-13-3,Le financement du régime général de l'assurance accident,Evolution du taux moyen de cotisation, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab27.xls ,remote,xls,"Accidents, régime général, données financières, financement, taux de cotisation"
14,1,20180627,20180627-14,igss-20180627-14-1,Les accidents reconnus par les régimes spéciaux de l'assurance accident,Evolution générale des accidents (régimes spéciaux), http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab29.xls ,remote,xls,"Accidents,  affiliation, régimes spéciaux"
14,2,20180627,20180627-14,igss-20180627-14-2,Les accidents reconnus par les régimes spéciaux de l'assurance accident,Répartition des accidents suivant les régimes assurés (régimes spéciaux), http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab30.xls ,remote,xls,"Accidents,  affiliation, régimes spéciaux"
15,1,20180627,20180627-15,igss-20180627-15-1,Les prestations des régimes spéciaux de l'assurance accident,Evolution du montant des prestations des régimes spéciaux de l'assurance accident, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab32.xls ,remote,xls,"Accidents,  régimes spéciaux, prestations"
16,1,20180627,20180627-16,igss-20180627-16-1,Le financement des régimes spéciaux de l'assurance accident,Bilans de fin d'exercice de l'assurance accident, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab33.xls ,remote,xls,"Accidents,  régimes spéciaux, comptes financiers, financement"
16,2,20180627,20180627-16,igss-20180627-16-2,Le financement des régimes spéciaux de l'assurance accident,Compte d'exploitation - recettes, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab34.xls ,remote,xls,"Accidents,  régimes spéciaux, comptes d'exploitation, financement, recettes"
16,3,20180627,20180627-16,igss-20180627-16-3,Le financement des régimes spéciaux de l'assurance accident,Compte d'exploitation - dépenses, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab35.xls ,remote,xls,"Accidents,  régimes spéciaux, comptes d'exploitation, financement, dépenses"
16,4,20180627,20180627-16,igss-20180627-16-4,Le financement des régimes spéciaux de l'assurance accident,"Evolution des rapports ""Rôles à établir""/dépense totale et ""Rôles à établir""/salaires déclarés", http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab36.xls ,remote,xls,"Accidents,  régimes spéciaux, comptes d'exploitation, financement"
